iter	Passed	Remaining
621	8460	5141
622	8467	5124
623	8478	5108
624	8485	5091
625	8493	5074
626	8500	5056
627	8507	5039
628	8516	5023
629	8523	5005
630	8531	4989
631	8538	4971
632	8547	4955
633	8554	4938
634	8563	4922
635	8571	4905
636	8579	4889
637	8587	4872
638	8596	4856
639	8605	4840
640	8614	4824
641	8625	4809
642	8633	4793
643	8642	4777
644	8649	4760
645	8658	4744
646	8666	4728
647	8675	4712
648	8682	4695
649	8690	4679
650	8698	4663
651	8707	4647
652	8713	4630
653	8723	4615
654	8731	4599
655	8740	4583
656	8748	4567
657	8758	4552
658	8765	4535
659	8773	4519
660	8780	4502
661	8788	4487
662	8795	4470
663	8804	4455
664	8811	4438
665	8821	4424
666	8829	4407
667	8838	4392
668	8845	4376
669	8854	4361
670	8862	4345
671	8869	4329
672	8876	4312
673	8887	4298
674	8892	4281
675	8900	4265
676	8905	4248
677	8911	4232
678	8918	4216
679	8924	4199
680	8929	4183
681	8938	4167
682	8947	4152
683	8954	4136
684	8965	4122
685	8972	4106
686	8982	4092
687	8989	4076
688	8999	4061
689	9008	4047
690	9018	4032
691	9027	4018
692	9038	4003
693	9052	3991
694	9063	3977
695	9072	3962
696	9087	3950
697	9096	3935
698	9108	3922
699	9116	3907
700	9134	3896
701	9150	3884
702	9174	3875
703	9181	3860
704	9197	3848
705	9211	3836
706	9227	3824
707	9239	3810
708	9251	3797
709	9262	3783
710	9276	3770
711	9287	3756
712	9293	3740
713	9300	3725
714	9306	3709
715	9314	3694
716	9322	3679
717	9333	3665
718	9346	3652
719	9355	3638
720	9364	3623
721	9373	3608
722	9381	3594
723	9390	3579
724	9402	3566
725	9415	3553
726	9426	3539
727	9432	3524
728	9450	3513
729	9465	3500
730	9471	3485
731	9482	3471
732	9489	3456
733	9499	3442
734	9509	3428
735	9518	3414
736	9527	3399
737	9535	3385
738	9544	3370
739	9552	3356
740	9560	3341
741	9569	3327
742	9581	3314
743	9595	3301
744	9612	3290
745	9631	3279
746	9649	3268
747	9665	3256
748	9679	3243
749	9695	3231
750	9708	3219
751	9718	3205
752	9728	3191
753	9742	3178
754	9752	3164
755	9761	3150
756	9773	3137
757	9782	3123
758	9793	3109
759	9802	3095
760	9809	3080
761	9818	3066
762	9826	3052
763	9837	3038
764	9842	3023
765	9851	3009
766	9857	2994
767	9867	2980
768	9873	2966
769	9882	2951
770	9888	2937
771	9896	2922
772	9907	2909
773	9921	2897
774	9934	2884
775	9943	2870
776	9963	2859
777	9974	2846
778	9989	2834
779	10004	2821
780	10016	2808
781	10023	2794
782	10031	2780
783	10039	2765
784	10047	2751
785	10056	2738
786	10063	2723
787	10069	2709
788	10079	2695
789	10087	2681
790	10101	2668
791	10126	2659
792	10151	2649
793	10194	2644
